PriceUpdateDate,ItemCode,ItemType,ItemName,ManufacturerName,ManufactureCountry,ManufacturerItemDescription,UnitQty,Quantity,bIsWeighted,UnitOfMeasure,QtyInPackage,ItemPrice,UnitOfMeasurePrice,AllowDiscount,ItemStatus
"2017-02-07 07:32","7296073153849","1","זוג רדידי אלומינ7.5*0.3מ","שופרסל","IL","זוג רדידי אלומינ","מטרים","15.00","0","מטר","0","11.90","0.79","1","1"
"2017-02-07 08:11","7296073156604","1","שוק.חלב עם אגוזי לוז100ג","שופרסל","CH","שוקולד+אגוזי לוז","גרמים","100.00","0","100 גרם","0","8.50","8.50","1","1"
"2017-02-07 08:11","7296073156628","1","שוק.מריר+אגוזי לוז 100גר","שופרסל","","שוקולד+אגוזי לוז","גרמים","100.00","0","100 גרם","0","8.50","8.50","1","1"
"2017-02-07 08:11","7296073160663","1","פסטה פוזילי 3 דקות 500 ג","שופרסל","","פסטה פוזילי","גרמים","500.00","0","100 גרם","0","7.10","1.42","1","1"
"2017-02-07 08:11","7296073160670","1","פסטה גנצ'טי 3 דקות 500 ג","שופרסל","","פסטה גנצ'ט'י","גרמים","500.00","0","100 גרם","0","7.10","1.42","1","1"
"2017-02-07 08:11","7296073161493","1","שוק.מריר60%שופרסל 100*2ג","שופרסל","","שוקולד מריר זוג","גרמים","200.00","0","100 גרם","0","14.20","7.10","1","1"
"2017-02-07 08:11","7296073161516","1","שוק.מריר+אגוזים שלמ100*3","שופרסל","","שוקולד אגוז 3 יח","גרמים","300.00","0","100 גרם","0","21.00","7.00","1","1"
"2017-02-07 07:32","7296073161721","1","נייר אפיה שופרסל 50 דפים","שופרסל","NO","נייר אפיה שופרסל","יחידה","1.00","0","יחידה","0","12.50","12.50","1","1"
"2017-02-07 07:31","7296073163084","1","נקניקיות וינר שופרסל400ג","מעדני יחיעם","IL","נקניקיות וינר","גרמים","400.00","0","100 גרם","0","12.50","3.13","1","1"
"2017-02-07 08:11","7296073169239","1","רוטב עגבניות לשקשוקה260ג","שופרסל","","רוטב לשקשוקה","גרמים","260.00","0","100 גרם","0","4.90","1.88","1","1"
"2017-02-07 08:11","7296073169246","1","רוטב עגבניות לפסטה260גרם","שופרסל","","רוטב לפסטה","גרמים","260.00","0","100 גרם","0","4.90","1.88","1","1"
"2017-02-07 08:11","7296073169260","1","עגבנ.מרוסקות שופרסל260גר","שופרסל","","עגבניות מרוסקות","גרמים","260.00","0","100 גרם","0","4.90","1.88","1","1"
"2017-02-07 08:11","7296073169833","1","שוק.מריר 72%ל.סוכר100גר","שופרסל","","שוקולד ללא סוכר","גרמים","100.00","0","100 גרם","0","10.90","10.90","1","1"
"2017-02-07 08:11","7296073169857","1","שוק.חלב+אגוז ללא סוכר100","שופרסל","","שוקולד ללא סוכר","גרמים","100.00","0","100 גרם","0","10.90","10.90","1","1"
"2017-02-07 13:31","7296073170860","1","צ'יפס קלאסי שופרסל 1.5קג","תפוגן","IL","צ'יפס קלאסי","קילוגרמים","1.50","0","ק""ג","0","27.50","18.33","1","1"
"2017-02-07 13:31","7296073170877","1","צ'יפס אמריקאי שופרסל 1.5","תפוגן","IL","צ'יפס אמריקאי","קילוגרמים","1.50","0","ק""ג","0","27.50","18.33","1","1"
"2017-02-07 13:31","7296073170884","1","סטייק צ'יפס שופרסל 1.5קג","תפוגן","IL","סטייק צ'יפס","קילוגרמים","1.50","0","ק""ג","0","26.90","17.93","1","1"
"2017-02-07 13:31","7296073170891","1","צ'יפס זיגזג שופרסל 1.5קג","תפוגן","IL","צ'יפס זיגזג","קילוגרמים","1.50","0","ק""ג","0","27.50","18.33","1","1"
